percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.446982559,74,2897,2017/06/29
0.452075938,78,2930,2017/06/29
0.460410557,61,2984,2017/06/29
0.46210835,54,2995,2017/06/29
0.463034419,62,3001,2017/06/29
0.463188764,61,3002,2017/06/29
0.474764624,59,3077,2017/06/29
0.475845038,64,3084,2017/06/29
0.479394968,61,3107,2017/06/29
0.487266553,63,3158,2017/06/29
0.488192622,63,3164,2017/06/29
0.48973607,64,3174,2017/06/29
0.494057725,61,3202,2017/06/29
0.494983794,61,3208,2017/06/29
0.498996759,63,3234,2017/06/29
0.501466276,61,3250,2017/06/29
0.501774965,64,3252,2017/06/29
0.502083655,65,3254,2017/06/29
0.502855379,65,3259,2017/06/29
0.506250965,62,3281,2017/06/29
0.506559654,63,3283,2017/06/29
0.508103102,57,3293,2017/06/29
0.511035654,73,3312,2017/06/29
0.512116067,77,3319,2017/06/29
0.523074549,65,3390,2017/06/29
0.523383238,66,3392,2017/06/29
0.526161445,70,3410,2017/06/29
0.531254823,62,3443,2017/06/29
0.53403303,69,3461,2017/06/29
0.538663374,61,3491,2017/06/29
0.539280753,60,3495,2017/06/29
0.545454545,73,3535,2017/06/29
0.545763235,77,3537,2017/06/29
0.552091372,55,3578,2017/06/29
0.553480475,61,3587,2017/06/29
0.557184751,58,3611,2017/06/29
0.559808612,69,3628,2017/06/29
0.560425992,80,3632,2017/06/29
0.561352061,83,3638,2017/06/29
0.564901991,75,3661,2017/06/29
0.565056336,70,3662,2017/06/29
0.56551937,60,3665,2017/06/29
0.567834542,71,3680,2017/06/29
0.572927921,68,3713,2017/06/29
0.574162679,65,3721,2017/06/29
0.574780059,60,3725,2017/06/29
0.576014817,67,3733,2017/06/29
0.580027782,57,3759,2017/06/29
0.583732057,48,3783,2017/06/29
0.584040747,50,3785,2017/06/29
0.584503781,49,3788,2017/06/29
0.586818954,62,3803,2017/06/29
0.587899367,64,3810,2017/06/29
0.593147091,63,3844,2017/06/29
0.594073159,95,3850,2017/06/29
0.594999228,85,3856,2017/06/29
0.597777435,101,3874,2017/06/29
0.598240469,99,3877,2017/06/29
0.600709986,72,3893,2017/06/29
0.603025158,67,3908,2017/06/29
0.60564902,66,3925,2017/06/29
0.610896743,61,3959,2017/06/29
0.613211915,57,3974,2017/06/29
0.615990122,62,3992,2017/06/29
0.61784226,62,4004,2017/06/29
0.620774811,56,4023,2017/06/29
0.626331224,60,4059,2017/06/29
0.634202809,61,4110,2017/06/29
0.634511499,52,4112,2017/06/29
0.635900602,51,4121,2017/06/29
0.636826671,49,4127,2017/06/29
0.637289705,50,4130,2017/06/29
0.638987498,51,4141,2017/06/29
0.64130267,63,4156,2017/06/29
0.641920049,59,4160,2017/06/29
0.646087359,57,4187,2017/06/29
0.648865566,60,4205,2017/06/29
0.64901991,55,4206,2017/06/29
0.649174255,54,4207,2017/06/29
0.654113289,60,4239,2017/06/29
0.655965427,61,4251,2017/06/29
0.659361013,60,4273,2017/06/29
0.659978392,60,4277,2017/06/29
0.662139219,59,4291,2017/06/29
0.663219633,56,4298,2017/06/29
0.66507177,54,4310,2017/06/29
0.668313011,59,4331,2017/06/29
0.681741009,56,4418,2017/06/29
0.682512733,54,4423,2017/06/29
0.684673561,54,4437,2017/06/29
0.68559963,53,4443,2017/06/29
0.687297422,55,4454,2017/06/29
0.688840871,49,4464,2017/06/29
0.68914956,52,4466,2017/06/29
0.69300818,58,4491,2017/06/29
0.69331687,56,4493,2017/06/29
0.694088594,51,4498,2017/06/29
0.695632042,55,4508,2017/06/29
0.696403766,55,4513,2017/06/29
0.696712456,55,4515,2017/06/29
0.699181973,62,4531,2017/06/29
0.701805834,59,4548,2017/06/29
0.704429696,63,4565,2017/06/29
0.70551011,66,4572,2017/06/29
0.714462108,88,4630,2017/06/29
0.722333693,81,4681,2017/06/29
0.72542059,90,4701,2017/06/29
0.728198796,97,4719,2017/06/29
0.730359623,78,4733,2017/06/29
0.730513968,79,4734,2017/06/29
0.731748727,76,4742,2017/06/29
0.732211761,76,4745,2017/06/29
0.73699645,60,4776,2017/06/29
0.739311622,71,4791,2017/06/29
0.743787622,87,4820,2017/06/29
0.746257138,93,4836,2017/06/29
0.747337552,91,4843,2017/06/29
0.748572311,95,4851,2017/06/29
0.755517827,56,4896,2017/06/29
0.76107424,65,4932,2017/06/29
0.765395894,54,4960,2017/06/29
0.770334928,60,4992,2017/06/29
0.774347893,63,5018,2017/06/29
0.780212996,77,5056,2017/06/29
0.782373823,82,5070,2017/06/29
0.782991202,71,5074,2017/06/29
0.78515203,71,5088,2017/06/29
0.785615064,64,5091,2017/06/29
0.787312857,80,5102,2017/06/29
0.787621547,82,5104,2017/06/29
0.789628029,81,5117,2017/06/29
0.793023615,63,5139,2017/06/29
0.793949684,65,5145,2017/06/29
0.794567063,65,5149,2017/06/29
